IND_ID	Opt	Phen	AbsErr	Fitness
472.0	0.391811	0.381747	0.0100644	0.849809
473.0	0.245936	0.506616	0.26068	0.733971
474.0	0.130948	0.149566	0.0186174	0.779289
475.0	0.439911	-0.165748	0.60566	0.750517
476.0	0.420083	0.0137062	0.406377	0.835767
477.0	0.449824	0.359467	0.0903572	0.798382
478.0	0.431377	0.299156	0.132221	0.841099
479.0	0.011328	0.12299	0.111662	0.766467
480.0	0.0323784	-0.225848	0.258227	0.945298
481.0	0.999214	0.881153	0.118061	0.921389
482.0	0.592912	0.794837	0.201926	0.879879
483.0	0.0227266	-0.00367227	0.0263989	0.771709
484.0	0.355926	0.796084	0.440158	0.744096
485.0	0.656554	1.04043	0.383878	0.813036
486.0	0.855471	1.37227	0.516799	0.832931
487.0	0.658312	0.859657	0.201345	0.796449
488.0	0.648495	0.666071	0.0175755	0.764636
489.0	0.987823	0.792646	0.195177	0.808795
490.0	0.927355	0.787422	0.139933	0.850934
491.0	0.654589	0.750741	0.096152	0.813528
492.0	0.304523	0.457407	0.152883	0.854617
493.0	0.91737	0.822296	0.0950738	0.893601
494.0	0.13245	-0.109011	0.241461	0.834063
495.0	0.18361	0.144008	0.0396015	0.719423
496.0	0.961688	0.551684	0.410004	0.743377
497.0	0.349309	0.462466	0.113157	0.951013
498.0	0.0618744	0.426813	0.364938	0.763318
499.0	0.534631	0.811326	0.276695	0.779489
500.0	0.0298226	0.809557	0.779735	0.762387
501.0	0.194457	0.309298	0.114841	0.822418
502.0	0.821755	1.14893	0.327173	0.824565
503.0	0.840613	0.582201	0.258411	0.828777
504.0	0.0673175	0.203416	0.136099	0.859132
505.0	0.31509	0.58586	0.27077	0.724954
506.0	0.591965	0.793135	0.20117	0.827364
507.0	0.193581	0.400037	0.206456	0.868756
508.0	0.200095	0.132377	0.0677178	0.846108
509.0	0.955295	1.3611	0.405808	0.955891
510.0	0.517551	1.29749	0.779937	0.887235
511.0	0.650124	0.70013	0.0500064	0.679011
512.0	0.855134	1.01734	0.162203	0.676121
513.0	0.362372	0.724465	0.362093	0.726112
514.0	0.60916	0.547753	0.0614072	0.897966
515.0	0.512386	0.474128	0.0382583	0.755552
516.0	0.969948	0.272356	0.697592	0.760193
517.0	0.575974	0.475442	0.100532	0.766874
518.0	0.234562	0.405111	0.17055	0.818271
519.0	0.2401	-0.0081048	0.248204	0.867391
520.0	0.957295	0.92649	0.0308049	0.78999
521.0	0.608843	0.480374	0.12847	0.709459
522.0	0.288749	0.30654	0.0177909	0.85979
523.0	0.966683	0.589124	0.377559	0.709213
524.0	0.903175	0.747163	0.156012	0.78373
525.0	0.428888	1.00094	0.572047	0.882352
526.0	0.780767	0.810139	0.0293723	0.702783
527.0	0.694782	0.910296	0.215514	0.879549
528.0	0.0472586	0.226537	0.179279	0.786529
529.0	0.534973	-0.0115701	0.546543	0.798297
530.0	0.747261	0.856182	0.108921	0.724632
531.0	0.0215638	-0.424955	0.446519	0.915058
532.0	0.184239	0.555831	0.371592	0.761617
533.0	0.875377	0.985092	0.109715	0.796764
534.0	0.954216	0.857523	0.0966927	0.70456
535.0	0.62532	0.528173	0.0971474	0.86156
536.0	0.406891	1.23871	0.831815	0.795641
537.0	0.844474	0.626248	0.218226	0.746521
538.0	0.647728	0.826364	0.178636	0.710884
539.0	0.85041	1.60588	0.755474	0.936137
540.0	0.419276	0.685301	0.266025	0.871045
541.0	0.229015	-0.256904	0.485919	0.893824
542.0	0.680415	0.963963	0.283548	0.768744
543.0	0.540857	0.840094	0.299236	0.708971
544.0	0.975021	0.57736	0.397661	0.7537
545.0	0.312391	0.0709594	0.241431	0.914206
546.0	0.166414	0.571235	0.404821	0.756496
547.0	0.282588	0.347844	0.0652557	0.798067
548.0	0.218709	0.25319	0.034481	0.767887
549.0	0.42365	0.632701	0.209051	0.820579
550.0	0.163117	0.282499	0.119381	0.91652
551.0	0.383302	0.657458	0.274155	0.723691
552.0	0.72591	0.616298	0.109611	0.82724
553.0	0.22044	1.03346	0.813021	0.737273
554.0	0.991245	0.818745	0.1725	0.867271
555.0	0.863631	0.478281	0.38535	0.902333
556.0	0.0637298	0.318356	0.254626	0.773736
557.0	0.913437	0.833195	0.0802413	0.83096
558.0	0.882158	0.803556	0.0786011	0.828171
559.0	0.594989	0.549896	0.0450925	0.964254
560.0	0.135411	0.0625601	0.0728509	0.944241
561.0	0.325776	-0.0298687	0.355645	0.752462
562.0	0.581263	0.731674	0.150411	0.938683
563.0	0.378497	-0.000259366	0.378757	0.754617
564.0	0.68735	0.897139	0.209789	0.879734
565.0	0.534848	0.483336	0.0515121	0.829752
566.0	0.641709	0.876342	0.234634	0.780337
